City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,-2.79,95,100,9.13,RU,1675914772
1,port blair,11.6667,92.75,82.44,69,40,11.5,IN,1675914755
2,dikson,73.5069,80.5464,-2.22,85,89,13.69,RU,1675914676
3,skibbereen,51.55,-9.2667,40.21,85,12,4.79,IE,1675914998
4,collie,-33.3667,116.15,86.7,24,0,6.73,AU,1675914998
5,norman wells,65.282,-126.8329,-12.96,77,75,0.0,CA,1675914697
6,zapolyarnyy,69.4154,30.8136,33.08,84,98,33.58,RU,1675914999
7,bredasdorp,-34.5322,20.0403,64.51,83,1,8.75,ZA,1675914661
8,naze,28.3667,129.4833,63.52,69,100,17.34,JP,1675914836
9,chara,56.9064,118.2631,-4.76,86,31,1.28,RU,1675914691
10,hermanus,-34.4187,19.2345,67.8,83,76,11.41,ZA,1675914641
11,tefe,-3.3542,-64.7114,73.6,98,91,2.06,BR,1675914999
12,erzin,36.9559,36.2,32.94,52,0,3.51,TR,1675915000
13,umkomaas,-30.2067,30.7978,74.68,80,100,14.16,ZA,1675915000
14,ushuaia,-54.8,-68.3,49.66,87,20,9.22,AR,1675914634
15,vaini,-21.2,-175.2,84.36,79,75,4.61,TO,1675914653
16,ilebo,-4.3167,20.5833,69.4,90,97,2.77,CD,1675915001
17,cabedelo,-6.9811,-34.8339,77.67,82,65,9.75,BR,1675914757
18,busselton,-33.65,115.3333,82.29,35,0,2.91,AU,1675914656
19,uinskoye,56.8817,56.5813,2.8,100,86,4.03,RU,1675915001
20,saint george,37.1041,-113.5841,49.95,49,0,4.61,US,1675914653
21,port alfred,-33.5906,26.891,67.17,98,100,3.65,ZA,1675914626
22,olafsvik,64.8945,-23.7142,24.03,60,100,21.68,IS,1675914781
23,port hardy,50.6996,-127.4199,39.38,93,100,25.32,CA,1675914783
24,batagay,67.6333,134.6333,-45.51,95,77,0.47,RU,1675914761
25,agen,44.2,0.6333,28.49,93,0,2.3,FR,1675915002
26,atuona,-9.8,-139.0333,79.2,79,46,22.5,PF,1675914650
27,rikitea,-23.1203,-134.9692,80.15,73,4,14.32,PF,1675914650
28,muros,42.7762,-9.0603,42.84,85,0,9.69,ES,1675915002
29,flinders,-34.5833,150.8552,73.18,87,100,4.0,AU,1675914727
30,lavrentiya,65.5833,-171.0,-11.99,97,100,2.51,RU,1675914827
31,vargashi,55.3556,65.8467,11.93,96,100,6.87,RU,1675915003
32,saint-philippe,-21.3585,55.7679,81.99,82,67,11.59,RE,1675914652
